ticker,name,sector,rating,rating_num,date,debt_to_equity,interest_coverage,current_ratio,net_margin,roa,debt_to_ebitda,log_assets
MSFT,Microsoft,Technology,AAA,0,2025-06-30,0.17639506345366093,53.89014675052411,1.3534464445042416,0.3614601524896707,0.16450970350709124,0.3782848937033684,11.7916927538348
JNJ,Johnson & Johnson,Healthcare,AAA,0,2024-12-29,0.512435305637152,29.336423841059602,1.1107291190556627,0.1583634500850024,0.07809932039266201,1.4783099955611154,11.255523358342224
AAPL,Apple,Technology,AA+,1,2025-09-27,1.3380304612588665,100.0,0.8932929222186667,0.2691506412181824,0.3117962593356549,0.6830924965553532,11.555385896641203
GOOGL,Alphabet,Technology,AA+,1,2024-12-31,0.07832129541903016,200.0,1.8369313974102914,0.28603671811164,0.22235794747876764,0.1880511691803182,11.653459508830892
GOOG,Alphabet Class C,Technology,AA+,1,2024-12-31,0.07832129541903016,200.0,1.8369313974102914,0.28603671811164,0.22235794747876764,0.1880511691803182,11.653459508830892
BRK-B,Berkshire Hathaway,Financials,AA,1,2024-12-31,0.22102567419398553,11.43,5.941609333752787,0.23959906631882466,0.0771266707745426,1.1175417150065015,12.062161022244155
WMT,Walmart,Consumer Staples,AA,1,2025-01-31,0.6604990495863229,10.758064516129032,0.8226828460200447,0.028541010448100913,0.07451796812397679,1.4309450130921209,11.416345885881407
AMZN,Amazon,Consumer Discretionary,AA,1,2024-12-31,0.45774032241144175,28.509143807148796,1.063734806137178,0.09287117197186653,0.09481288026449286,1.0572224690061787,11.79580635475318
XOM,Exxon Mobil,Energy,AA-,1,2024-12-31,0.15816916630325553,39.81124497991968,1.3084045685351386,0.09927869664285904,0.07427090798831247,0.5689459971900533,11.656553349474782
CVX,Chevron,Energy,AA-,1,2024-12-31,0.16111687390853346,48.98821548821549,1.0610249494268376,0.09131190089652248,0.06873642668659365,0.5357010325031106,11.40982833926003
UNH,UnitedHealth,Healthcare,AA-,1,2024-12-31,0.829976904314792,8.26600102406554,0.8266341585637329,0.03598748869535673,0.04829387350055988,2.7391366291494514,11.474621222416884
PG,Procter & Gamble,Consumer Staples,AA-,1,2025-06-30,0.6818234253633777,22.54796030871003,0.7041987908369849,0.1895258886621423,0.1275562760019484,1.4825049120020066,11.097711848542565
HD,Home Depot,Consumer Discretionary,AA-,1,2025-01-31,9.381024096385541,9.274450667815596,1.1054394473326123,0.09281943904610254,0.15403822345217907,2.448987615490466,10.982809243855323
META,Meta Platforms,Technology,AA-,1,2024-12-31,0.2686202686202686,97.03496503496504,2.9778842719371355,0.3790858414234564,0.22589783158367566,0.5647129241677794,11.440994044413458
V,Visa,Financials,AA-,1,2025-09-30,0.6639848057189586,40.73684210526316,1.0775507874914403,0.50145,0.20133096449757595,0.968003691881706,10.998377052900985
MA,Mastercard,Financials,AA-,1,2024-12-31,2.810485736314572,24.120743034055728,1.026222684703434,0.4570596797671033,0.26775649424928766,1.0850747157230458,10.681973491647877
LLY,Eli Lilly,Healthcare,AA-,1,2024-12-31,2.3706287300681366,22.420830130668715,1.1537569687700429,0.23511023983908602,0.13453615516249148,2.2094223646536553,10.896056948055287
ABBV,AbbVie,Healthcare,AA-,1,2024-12-31,20.403308270676693,3.2539173789173788,0.6601976825208392,0.0759399297049739,0.03165114197142667,4.550033534540577,11.130851396278912
COP,ConocoPhillips,Energy,AA-,1,2024-12-31,0.39119698746836223,11.537003610108304,1.2905806664467172,0.16879074196147367,0.07507737416517347,1.0377891504605936,11.08912762904428
MRK,Merck,Healthcare,AA-,1,2024-12-31,0.8263338587437653,15.909520062942565,1.3646023926812103,0.2667528986410672,0.1461667207487234,1.48875748852408,11.068579146994962
PFE,Pfizer,Healthcare,AA-,1,2024-12-31,0.7595319887078671,5.332578453574895,1.1712524712175834,0.1260471183617018,0.03758271007891432,3.6957577094941247,11.329186274534521
