date,sales_revenue,cost_of_goods_sold,net_income,ebit,ebt,interest_expense,depreciation,shares_outstanding,total_assets,total_liabilities,total_equity,total_debt,retained_earnings,common_stock,capex,dividends_paid,stock_repurchased,operating_cash_flow,overhead_expenses,payroll_expenses
2015-12-26,75872000000,45449000000,18361000000,24171000000,24573000000,276000000,2954000000,22235720000,293284000000,165017000000,128267000000,62963000000.0,101494000000,28253000000,4006000000,2969000000,6863000000,27463000000,6252000000,3126000000.0
2016-03-26,50557000000,30636000000,10516000000,13987000000,14142000000,321000000,2477000000,22057524000,305277000000,174820000000,130457000000,79872000000.0,102021000000,29484000000,2599000000,2902000000,6667000000,11601000000,5934000000,2967000000.0
2016-06-25,42358000000,26252000000,7796000000,10105000000,10469000000,409000000,2526000000,21772232000,305602000000,179061000000,126541000000,84935000000.0,96542000000,30106000000,2905000000,3187000000,10166000000,10634000000,6001000000,3000500000.0
2016-09-24,46852000000,29039000000,9014000000,11761000000,12188000000,450000000,2548000000,21467648000,321686000000,193437000000,128249000000,87032000000.0,96364000000,31251000000,4038000000,3092000000,6026000000,16126000000,6052000000,3026000000.0
2016-12-31,78351000000,48175000000,17891000000,23359000000,24180000000,525000000,2987000000,21194644000,331141000000,198751000000,132390000000,87549000000.0,100001000000,32144000000,3420000000,3130000000,10851000000,27234000000,6817000000,3408500000.0
2017-04-01,52896000000,32305000000,11029000000,14097000000,14684000000,530000000,2332000000,20903164000,334532000000,200450000000,134082000000,98522000000.0,100925000000,33579000000,3015000000,3004000000,7161000000,12570000000,6494000000,3247000000.0
2017-07-01,45408000000,27920000000,8717000000,10768000000,11308000000,602000000,2354000000,20780352000,345173000000,212748000000,132425000000,108339000000.0,98525000000,34445000000,2360000000,3365000000,7093000000,8672000000,6720000000,3360000000.0
2017-09-30,52579000000,32648000000,10714000000,13120000000,13917000000,666000000,2484000000,20597712000,375319000000,241272000000,134047000000,115680000000.0,98330000000,35867000000,4000000000,3270000000,7795000000,15656000000,6811000000,3405500000.0
2017-12-30,88293000000,54381000000,20065000000,26274000000,27030000000,734000000,2745000000,20451508000,406794000000,266595000000,140199000000,122400000000.0,104593000000,36447000000,2810000000,3339000000,10095000000,28293000000,7638000000,3819000000.0
2018-03-31,61137000000,37715000000,13822000000,15894000000,16168000000,792000000,2739000000,20099508000,367502000000,240624000000,126878000000,121840000000.0,91898000000,38044000000,4195000000,3190000000,22756000000,15130000000,7528000000,3764000000.0
2018-06-30,53265000000,32844000000,11519000000,12612000000,13284000000,846000000,2665000000,19528668000,349197000000,234248000000,114949000000,114600000000.0,79436000000,38624000000,3267000000,3653000000,20783000000,14488000000,7809000000,3904500000.0
2018-09-29,64040000000,39727000000,13686000000,15625000000,16127000000,810000000,3179000000,17963248000,365725000000,258578000000,107147000000,114483000000.0,70400000000,40201000000,3041000000,3530000000,19104000000,19523000000,8688000000,4344000000.0
2018-12-29,84310000000,52279000000,19965000000,23346000000,23906000000,890000000,3395000000,18943280000,373719000000,255827000000,117892000000,114730000000.0,80510000000,40970000000,3355000000,3568000000,8796000000,26690000000,8685000000,4342500000.0
2019-03-30,58015000000,36194000000,11561000000,13415000000,13793000000,1010000000,3040000000,18696284000,341998000000,236138000000,105860000000,112630000000.0,64558000000,42801000000,2363000000,3443000000,23702000000,11155000000,8406000000,4203000000.0
2019-06-29,53809000000,33582000000,10044000000,11544000000,11911000000,866000000,2933000000,18282532000,322239000000,225783000000,96456000000,108418000000.0,53724000000,43371000000,2000000000,3629000000,16955000000,11636000000,8683000000,4341500000.0
2019-09-28,64040000000,39727000000,13686000000,15625000000,16127000000,810000000,3179000000,18471336000,338516000000,248028000000,90488000000,108047000000.0,45898000000,45174000000,2777000000,3479000000,17444000000,19910000000,8688000000,4344000000.0
2019-12-28,91819000000,56602000000,22236000000,25569000000,25918000000,785000000,2816000000,17660160000,340618000000,251087000000,89531000000,116751000000.0,43977000000,45972000000,2107000000,3539000000,20706000000,30516000000,9648000000,4824000000.0
2020-03-28,58313000000,35943000000,11249000000,12853000000,13135000000,757000000,2786000000,17440404000,320400000000,241975000000,78425000000,118761000000.0,33182000000,48032000000,1853000000,3375000000,18574000000,13311000000,9517000000,4758500000.0
2020-06-27,59685000000,37005000000,11253000000,13091000000,13137000000,697000000,2752000000,17250292000,317344000000,245062000000,72282000000,122186000000.0,24136000000,48696000000,1565000000,3656000000,15891000000,16271000000,9589000000,4794500000.0
2020-09-26,64698000000,40009000000,12673000000,14775000000,14901000000,634000000,2702000000,17057622000,323888000000,258549000000,65339000000,122278000000.0,14966000000,50779000000,1784000000,3511000000,17187000000,20576000000,9914000000,4957000000.0
2020-12-26,111439000000,67111000000,28755000000,33534000000,33579000000,638000000,2666000000,16935119000,354054000000,287830000000,66224000000,112043000000.0,14301000000,51744000000,3500000000,3613000000,24775000000,38763000000,10794000000,5397000000.0
2021-03-27,89584000000,51505000000,23630000000,27503000000,28011000000,670000000,2797000000,16753476000,337158000000,267980000000,69178000000,121645000000.0,15261000000,54203000000,2269000000,3447000000,18548000000,23981000000,10576000000,5288000000.0
2021-06-26,81434000000,46179000000,21744000000,24126000000,24369000000,665000000,2832000000,16629371000,329840000000,265560000000,64280000000,121791000000.0,9233000000,54989000000,2093000000,3767000000,22900000000,21094000000,11129000000,5564500000.0
2021-09-25,83360000000,48186000000,20551000000,23786000000,23248000000,672000000,2989000000,16487121000,351002000000,287912000000,63090000000,136522000000.0,5562000000,57365000000,3223000000,3640000000,19748000000,20200000000,11388000000,5694000000.0
2021-12-25,123945000000,69702000000,34630000000,41488000000,41241000000,694000000,2697000000,16391724000,381191000000,309259000000,71932000000,122798000000.0,14435000000,58424000000,2803000000,3732000000,20478000000,46966000000,12755000000,6377500000.0
2022-03-26,97278000000,54719000000,25010000000,29979000000,30139000000,691000000,2737000000,16278802000,350662000000,283263000000,67399000000,119981000000.0,12712000000,61181000000,2514000000,3595000000,22631000000,28166000000,12580000000,6290000000.0
2022-06-25,82959000000,47074000000,19442000000,23076000000,23066000000,719000000,2805000000,16162945000,336309000000,278202000000,58107000000,119691000000.0,5289000000,62115000000,2102000000,3811000000,21865000000,22892000000,12809000000,6404500000.0
2022-09-24,90146000000,52051000000,20721000000,24894000000,24657000000,827000000,2865000000,16030382000,352755000000,302083000000,50672000000,132480000000.0,-3068000000,64849000000,3289000000,3703000000,24428000000,24127000000,13201000000,6600500000.0
2022-12-31,117154000000,66822000000,29998000000,36016000000,35623000000,1003000000,2916000000,15892723000,346747000000,290020000000,56727000000,111110000000.0,3240000000,66399000000,3787000000,3768000000,19475000000,34005000000,14316000000,7158000000.0
2023-04-01,94836000000,52860000000,24160000000,28318000000,28382000000,930000000,2898000000,15787154000,332160000000,270002000000,62158000000,109615000000.0,4336000000,69568000000,2916000000,3650000000,19594000000,28560000000,13658000000,6829000000.0
2023-07-01,81797000000,45384000000,19881000000,22998000000,22733000000,998000000,3052000000,15697614000,335038000000,274764000000,60274000000,109280000000.0,1408000000,70667000000,2093000000,3849000000,17478000000,26380000000,13415000000,6707500000.0
2023-09-30,89498000000,49071000000,22956000000,26969000000,26998000000,1002000000,2653000000,15599434000,352583000000,290437000000,62146000000,123930000000.0,-214000000,73812000000,2163000000,3758000000,21003000000,21598000000,13458000000,6729000000.0
