date,sales_revenue,cost_of_goods_sold,net_income,ebit,ebt,interest_expense,depreciation,shares_outstanding,total_assets,total_liabilities,total_equity,total_debt,retained_earnings,common_stock,capex,dividends_paid,stock_repurchased,operating_cash_flow,overhead_expenses,payroll_expenses
2015-12-31,35747000000,24341000000,482000000,1109000000,934000000,115000000,1752000000,9400000000,64747000000,51363000000,13384000000,14175000000,2545000000,5000000,1309000000.0,0.0,0.0,8812000000.0,10297000000,5148500000.0
2016-03-31,29128000000,18866000000,513000000,1071000000,1056000000,117000000,1827000000,9420000000,61128000000,46372000000,14756000000,8219000000,3058000000,5000000,1179000000.0,0.0,0.0,-1953000000.0,9191000000,4595500000.0
2016-06-30,30404000000,19180000000,857000000,1285000000,1179000000,116000000,1909000000,9460000000,65076000000,48538000000,16538000000,8212000000,3915000000,5000000,1711000000.0,0.0,0.0,3578000000.0,9939000000,4969500000.0
2016-09-30,32714000000,21260000000,252000000,575000000,491000000,118000000,2084000000,9480000000,70897000000,53115000000,17782000000,8205000000,4167000000,5000000,1841000000.0,0.0,0.0,4659000000.0,10879000000,5439500000.0
2016-12-31,43741000000,28959000000,749000000,1255000000,1162000000,133000000,2297000000,9520000000,83402000000,64117000000,19285000000,15213000000,4916000000,5000000,2006000000.0,0.0,0.0,10652000000.0,13527000000,6763500000.0
2017-03-31,35714000000,22440000000,724000000,1005000000,953000000,139000000,2435000000,9540000000,80969000000,59295000000,21674000000,7691000000,6327000000,5000000,2148000000.0,0.0,0.0,-1619000000.0,12269000000,6134500000.0
2017-06-30,37955000000,23451000000,197000000,628000000,666000000,143000000,2633000000,9580000000,87781000000,64567000000,23214000000,7683000000,6524000000,5000000,3113000000.0,0.0,0.0,3850000000.0,13876000000,6938000000.0
2017-09-30,43744000000,27549000000,256000000,347000000,314000000,228000000,2912000000,9620000000,115267000000,90609000000,24658000000,24710000000,6779000000,5000000,3074000000.0,0.0,0.0,3777000000.0,15848000000,7924000000.0
2017-12-31,60453000000,38495000000,1857000000,2127000000,1871000000,338000000,3498000000,9660000000,131310000000,103601000000,27709000000,37926000000,8636000000,5000000,4933000000.0,0.0,0.0,12344000000.0,19831000000,9915500000.0
2018-03-31,51042000000,30735000000,1629000000,1927000000,1916000000,330000000,3671000000,9680000000,126362000000,94899000000,31463000000,24640000000,11199000000,5000000,3098000000.0,0.0,0.0,-1791000000.0,18380000000,9190000000.0
