date,sales_revenue,cost_of_goods_sold,net_income,ebit,ebt,interest_expense,depreciation,shares_outstanding,total_assets,total_liabilities,total_equity,total_debt,retained_earnings,common_stock,capex,dividends_paid,stock_repurchased,operating_cash_flow,overhead_expenses,payroll_expenses
2010-12-31,8440000000,2946000000,2543000000,2982000000,3142000000,0,381000000,12797834880,57851000000,11610000000,46241000000,3465000000,27868000000,18235000000,2545000000,0,65000000,3526000000,2512000000,1256000000.0
2011-03-31,8575000000,2936000000,1798000000,2296000000,2392000000,4000000,401000000,12861074855,59960000000,11109000000,48851000000,3216000000,29666000000,18804000000,890000000,0,0,3172000000,3343000000,1671500000.0
2011-06-30,9026000000,3172000000,2505000000,2881000000,3085000000,13000000,455000000,12889114844,64861000000,12870000000,51991000000,4202000000,32172000000,19216000000,917000000,0,0,3519000000,2973000000,1486500000.0
2011-09-30,9720000000,3378000000,2729000000,3058000000,3360000000,21000000,492000000,12926194829,69088000000,14258000000,54830000000,4204000000,34901000000,19697000000,680000000,0,20000000,3950000000,3284000000,1642000000.0
2011-12-31,10583000000,3703000000,2704000000,3507000000,3489000000,20000000,503000000,12968154812,72574000000,14429000000,58145000000,4204000000,37605000000,20264000000,951000000,0,20000000,3924000000,3373000000,1686500000.0
2012-03-31,10645000000,3789000000,2890000000,3389000000,3545000000,20000000,511000000,13011954795,77144000000,15432000000,61712000000,5455000000,40495000000,20795000000,607000000,0,47000000,3694000000,3467000000,1733500000.0
2012-06-30,11807000000,4677000000,2785000000,3237000000,3490000000,22000000,670000000,13050874779,86051000000,21330000000,64721000000,6205000000,43280000000,21357000000,774000000,0,137000000,4252000000,3893000000,1946500000.0
2012-09-30,13304000000,5955000000,2176000000,2740000000,2805000000,21000000,828000000,13111394755,89730000000,21702000000,68028000000,6206000000,45456000000,22204000000,872000000,0,0,4004000000,4609000000,2304500000.0
2012-12-31,13215000000,5278000000,2886000000,3432000000,3585000000,21000000,953000000,13174514730,93798000000,22083000000,71715000000,5537000000,48342000000,22835000000,1020000000,0,0,4669000000,4505000000,2252500000.0
2013-03-31,12951000000,5136000000,3346000000,3748000000,3882000000,21000000,899000000,13218154712,96692000000,21219000000,75473000000,5139000000,51688000000,23429000000,1203000000,0,0,3633000000,4067000000,2033500000.0
