date,sales_revenue,cost_of_goods_sold,net_income,ebit,ebt,interest_expense,depreciation,shares_outstanding,total_assets,total_liabilities,total_equity,total_debt,retained_earnings,common_stock,capex,dividends_paid,stock_repurchased,operating_cash_flow,overhead_expenses,payroll_expenses
2015-12-31,8721000000,1448000000,765000000,1072000000,1072000000,1448000000,285000000,442199995,861395000000,774667000000,86728000000,329532000000,83386000000,9000000,628000000,484000000,1590000000,6795000000,6201000000,3100500000.0
2016-03-31,7803000000,1465000000,1135000000,1576000000,1576000000,1465000000,239000000,440800000,878036000000,791199000000,86837000000,331171000000,83990000000,9000000,573000000,387000000,1556000000,-3932000000,4762000000,2381000000.0
2016-06-30,9708000000,1776000000,1822000000,2463000000,2463000000,1776000000,245000000,431900000,896843000000,810329000000,86514000000,330209000000,85339000000,9000000,669000000,473000000,1865000000,9605000000,5469000000,2734500000.0
2016-09-30,9943000000,1775000000,2094000000,2868000000,2868000000,1775000000,247000000,422399995,879987000000,792877000000,87110000000,330378000000,87160000000,9000000,821000000,378000000,1835000000,-3900000000,5300000000,2650000000.0
2016-12-31,10258000000,2088000000,2347000000,3397000000,3397000000,2088000000,267000000,415200000,860165000000,773272000000,86893000000,322274000000,89039000000,9000000,813000000,468000000,1488000000,3797000000,4773000000,2386500000.0
2017-03-31,10256000000,2230000000,2255000000,2539000000,2539000000,2230000000,257000000,412499995,894069000000,807152000000,86917000000,346902000000,90904000000,9000000,838000000,366000000,1503000000,-3364000000,5487000000,2743500000.0
2017-06-30,10319000000,2432000000,1831000000,2509000000,2509000000,2432000000,265000000,406100000,906518000000,819843000000,86675000000,352702000000,92225000000,9000000,683000000,510000000,1466000000,-10489000000,5378000000,2689000000.0
2017-09-30,11007000000,2681000000,2128000000,2976000000,2976000000,2681000000,280000000,398199996,930132000000,843840000000,86292000000,366392000000,93958000000,9000000,689000000,395000000,2174000000,2734000000,5350000000,2675000000.0
2017-12-31,10666000000,2838000000,-1928000000,3108000000,3108000000,2838000000,350000000,389799996,916776000000,834533000000,82243000000,374115000000,91519000000,9000000,975000000,498000000,2479000000,-6623000000,4720000000,2360000000.0
2018-03-31,13392000000,3356000000,2832000000,3419000000,3419000000,3312000000,299000000,389099996,973535000000,889956000000,83579000000,395121000000,93907000000,9000000,1563000000,376000000,800000000,-964000000,6617000000,3308500000.0
2018-06-30,13554000000,4152000000,2565000000,3276000000,3276000000,3918000000,335000000,387800000,968610000000,882011000000,86599000000,391357000000,95941000000,9000000,2188000000,531000000,0,8598000000,6126000000,3063000000.0
2018-09-30,13025000000,4379000000,2524000000,3078000000,3078000000,4205000000,317000000,385399996,957190000000,870428000000,86762000000,383541000000,98083000000,9000000,2196000000,382000000,1244000000,-5314000000,5568000000,2784000000.0
