date,sales_revenue,cost_of_goods_sold,net_income,ebit,ebt,interest_expense,depreciation,shares_outstanding,total_assets,total_liabilities,total_equity,total_debt,retained_earnings,common_stock,capex,dividends_paid,stock_repurchased,operating_cash_flow,overhead_expenses,payroll_expenses
2010-12-31,595922000,390790000,47095000,78453000,74559000,4832000,195328000,3681020000,982067000,691903000,290164000,236206000,237739000,53000,14936000,0,0,96717000,126679000,63339500.0
2011-03-31,718553000,438151000,60233000,102240000,98240000,4865000,122753000,3693130000,1090188000,814466000,275722000,235705000,275080000,52000,16320000,0,108643000,116323000,178162000,89081000.0
2011-06-30,788610000,489978000,68214000,115114000,110824000,5303000,178648000,3672900000,1570693000,1236659000,334034000,235185000,333097000,53000,8626000,0,51421000,86392000,183518000,91759000.0
2011-09-30,821839000,536617000,62460000,96842000,93623000,4915000,222359000,3679830000,1961558000,1573206000,388352000,234659000,387711000,53000,14080000,0,39602000,49531000,188380000,94190000.0
2011-12-31,875575000,575155000,35219000,61872000,56835000,4942000,480013000,3750740000,3069196000,2426386000,642810000,402319000,422930000,55000,95810000,0,0,65466000,238548000,119274000.0
2012-03-31,869791000,623933000,-4584000,-1935000,-7025000,5090000,371113000,3881920000,3480459000,2817057000,663402000,400000000,418346000,55000,4766000,0,0,19109000,247793000,123896500.0
2012-06-30,889163000,643428000,6164000,16154000,10655000,5499000,403348000,3886820000,3478290000,2790064000,688226000,400000000,424510000,56000,3644000,0,0,19692000,229581000,114790500.0
2012-09-30,905089000,662638000,7675000,16135000,11946000,4990000,435207000,3887870000,3808833000,3091993000,716840000,400000000,432185000,56000,13883000,0,0,150000,226316000,113158000.0
2012-12-31,945239000,695867000,7897000,19638000,14904000,5016000,492415000,3889340000,3967890000,3223217000,744673000,400000000,440082000,56000,37313000,0,0,-16186000,229734000,114867000.0
2013-03-31,1023961000,726863000,2689000,31822000,930000,6740000,516028000,3918040000,4363289000,3550370000,812919000,700000000,442771000,56000,33396000,0,0,-12165000,265276000,132638000.0
2013-06-30,1069372000,753525000,29471000,57117000,46649000,10468000,539985000,4073440000,4480751000,3375129000,1105622000,563400000,472242000,59000,22111000,0,0,33943000,258730000,129365000.0
2013-09-30,1105999000,791019000,31822000,57120000,49491000,7629000,582392000,4137560000,4901325000,3696955000,1204370000,512800000,504064000,59000,26299000,0,0,34693000,257860000,128930000.0
2013-12-31,1175230000,811849000,48421000,82288000,74004000,8284000,603275000,4162900000,5412563000,4079002000,1333561000,500000000,552485000,60000,38349000,0,0,41445000,281093000,140546500.0
2014-03-31,1270089000,869186000,53115000,97595000,88944000,10052000,629238000,4187190000,6048106000,4569748000,1478358000,911300000,605600000,60000,28248000,0,0,36359000,303308000,151654000.0
2014-06-30,1340407000,914848000,71018000,129600000,117372000,13328000,668937000,4199720000,6325822000,4716117000,1609705000,910900000,676618000,60000,40850000,0,0,56024000,295959000,147979500.0
2014-09-30,1409432000,954394000,59295000,110407000,97537000,13486000,718780000,4211970000,6778329000,5053455000,1724874000,910100000,735913000,60000,36562000,0,0,-37439000,344631000,172315500.0
2014-12-31,1484728000,1014332000,83371000,65046000,45516000,19530000,764843000,4222470000,7042500000,5184792000,1857708000,885849000,819284000,1042870000,38856000,0,0,-38461000,405350000,202675000.0
2015-03-31,1573129000,1046401000,23696000,97456000,38426000,59030000,785870000,4236260000,9240626000,7331412000,1909214000,2409000000,842980000,61000,35942000,0,0,-127382000,429272000,214636000.0
2015-06-30,1644694000,1121752000,26335000,74835000,40490000,35217000,858994000,4253399990,9654861000,7622786000,2032075000,2408100000,869315000,1200880000,47324000,0,0,-181343000,448107000,224053500.0
2015-09-30,1738355000,1173958000,29432000,73641000,42238000,35333000,906039000,4268690000,9916267000,7748949000,2167318000,2421800000,898747000,1306461000,52287000,0,0,-195969000,490756000,245378000.0
2015-12-31,1823333000,1249365000,43178000,59894000,20731000,39163000,996142000,4276680000,10202871000,7979445000,2223426000,2371362000,941925000,1324809000,33653000,0,0,-244745000,514074000,257037000.0
2016-03-31,1957736000,1369540000,27658000,49453000,39879000,35537000,1093760000,4281170000,11262274000,8945041000,2317233000,2372218000,969583000,1382051000,31632000,0,0,-228590000,538743000,269371500.0
2016-06-30,2105204000,1473098000,40755000,70370000,51232000,35455000,1209513000,4284830000,11593507000,9177673000,2415834000,2373085000,1010338000,1443707000,28738000,0,0,-226293000,561736000,280868000.0
2016-09-30,2290188000,1532844000,51517000,106036000,79127000,35536000,1257802000,4289370000,12347338000,9818372000,2528966000,2373966000,1061855000,1503641000,44615000,0,0,-461941000,651308000,325654000.0
2016-12-31,2477541000,1654419000,66748000,153934000,90269000,63665000,1363903000,4297380000,13586610000,10906810000,2679800000,3364311000,1128603000,1599762000,79845000,0,0,-557160000,669188000,334594000.0
2017-03-31,2636635000,1657024000,178222000,256942000,223792000,46742000,1339330000,4306000000,14359096000,11385413000,2973683000,3383331000,1350410000,1669132000,77895000,0,0,-343856000,722669000,361334500.0
2017-06-30,2785464000,1902308000,65600000,127807000,13962000,113845000,1585856000,4313960000,16517223000,13404723000,3112500000,4836502000,1416010000,1727858000,72855000,0,0,-534528000,755349000,377674500.0
2017-09-30,2984859000,1992980000,129590000,208627000,116237000,92390000,1659974000,4324040000,16951540000,13624179000,3327361000,4888783000,1545600000,1807123000,44180000,0,0,-419607000,783252000,391626000.0
2017-12-31,3285755000,2107354000,185517000,245303000,131330000,113973000,1745225000,4331080000,19012742000,15430786000,3581956000,6499432000,1731117000,1871396000,32092000,0,0,-487957000,933098000,466549000.0
2018-03-31,3700856000,2196075000,290124000,446578000,299616000,146962000,1779019000,4341740000,20152797000,16132067000,4020730000,6542373000,2021241000,1995225000,47966000,0,0,-236757000,1058203000,529101500.0
2018-06-30,3907270000,2289867000,384349000,462213000,428636000,101605000,1848707000,4350970000,22663537000,18166937000,4496600000,8342067000,2405590000,2103437000,39875000,0,0,-518239000,1155190000,577595000.0
2018-09-30,3999374000,2412346000,402835000,480668000,378810000,108862000,1942887000,4358090000,23366229000,18356576000,5009653000,8336586000,2808425000,2215736000,47064000,0,0,-690411000,1106360000,553180000.0
2018-12-31,4186841000,2733400000,133934000,215767000,119396000,128807000,2085844000,4363850000,25974400000,20735635000,5238765000,10360058000,2942359000,2315988000,77627000,0,0,-1235072000,1237674000,618837000.0
2019-03-31,4520992000,2870614000,344052000,459084000,399659000,135529000,2148247000,4369470000,27218632000,21515574000,5703058000,11192545000,3288885000,2439773000,69551000,0,0,-379799000,1191294000,595647000.0
2019-06-30,4923116000,3005657000,270650000,706419000,500916000,205503000,2257411000,4375870000,30171339000,24065791000,6105548000,13678117000,3559535000,2566365000,47382000,0,0,-543754000,1211040000,605520000.0
2019-09-30,5244905000,3097919000,665244000,980239000,1012323000,160660000,2306681000,4380900000,30941711000,24080206000,6861505000,13539365000,4224779000,2677972000,49967000,0,0,-501794000,1166747000,583373500.0
2019-12-31,5467434000,3466023000,586970000,458512000,149333000,309179000,2584668000,4385470000,33975712000,26393555000,7582157000,16372494000,4811749000,2793929000,107737000,0,0,-1461975000,1542899000,771449500.0
2020-03-31,5767691000,3599701000,709067000,958256000,795870000,184083000,2511902000,4393520000,35059910000,26650616000,8409294000,16265501000,5520816000,2935532000,98015000,0,0,259912000,1209734000,604867000.0
2020-06-30,6148286000,3643707000,720196000,1357928000,1035602000,322326000,2633820000,4405690000,37175281000,27840528000,9334753000,17708159000,6241012000,3127813000,141741000,0,0,1041076000,1146651000,573325500.0
2020-09-30,6435637000,3867751000,789976000,1314863000,861460000,453403000,2762332000,4415260000,38622543000,28289220000,10333323000,18137133000,7030988000,3303482000,109811000,0,0,1263761000,1253023000,626511500.0
2020-12-31,6644442000,4165160000,542156000,954242000,506417000,447825000,3014568000,4422200000,39280359000,28215119000,11065240000,18510826000,7573144000,3447698000,148356000,0,0,-137672000,1525040000,762520000.0
2021-03-31,7163282000,3868511000,1706715000,1959856000,2034502000,194440000,2754937000,4432240000,40123014000,27238934000,12884080000,17739319000,9279859000,3600084000,81001000,0,0,777266000,1334915000,667457500.0
2021-06-30,7341777000,4018008000,1353013000,1847630000,1593789000,253841000,2845237000,4431590000,40970969000,27107098000,13863871000,17943124000,10632872000,3721246000,110278000,0,500022000,-63761000,1476139000,738069500.0
2021-09-30,7483467000,4206589000,1449071000,1755253000,1660959000,190429000,3033304000,4427780000,42739857000,27425240000,15314617000,18006608000,12081943000,3852531000,167327000,0,100000000,82379000,1521625000,760812500.0
2021-12-31,7709318000,5239575000,607429000,631770000,550853000,189429000,3805301000,4434620000,44584663000,28735415000,15849248000,18116570000,12689372000,4024561000,165979000,0,0,-403274000,1837973000,918986500.0
2022-03-31,7867767000,4284705000,1597447000,1971626000,1979692000,187579000,3240967000,4441460000,45330904000,27786865000,17544039000,17299575000,14286819000,4155580000,121158000,0,0,922839000,1611436000,805718000.0
2022-06-30,7970141000,4690755000,1440951000,1578283000,1623054000,175455000,3344853000,4445570000,46350935000,27274961000,19075974000,16909057000,15727770000,4316870000,90018000,0,0,102750000,1701103000,850551500.0
2022-09-30,7925589000,4788665000,1398242000,1533018000,1621847000,172575000,3738780000,4448780000,47562187000,27034046000,20528141000,16432181000,17126012000,4473962000,84960000,0,0,556810000,1603906000,801953000.0
